2018-06-21 11:32:04,449 [Worker-119] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:32:46,405 [Worker-138] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:32:46,406 [Worker-138] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:32:46,407 [Worker-138] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:32:46,408 [Worker-138] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:33:28,354 [Worker-118] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:33:28,355 [Worker-118] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:33:28,356 [Worker-118] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:33:28,358 [Worker-118] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:33:55,387 [Worker-118] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:33:55,388 [Worker-118] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:33:55,389 [Worker-118] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:33:55,390 [Worker-118] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:36:00,415 [Worker-134] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:36:00,416 [Worker-134] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:36:00,419 [Worker-134] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:36:00,420 [Worker-134] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:36:36,774 [Worker-119] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:36:36,775 [Worker-119] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:36:36,777 [Worker-119] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:36:36,777 [Worker-119] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:37:31,610 [Worker-134] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:37:31,611 [Worker-134] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:37:31,612 [Worker-134] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:37:31,613 [Worker-134] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:38:44,429 [Worker-119] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:38:44,430 [Worker-119] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:38:44,431 [Worker-119] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:38:44,432 [Worker-119] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:39:09,112 [Worker-119] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:39:09,113 [Worker-119] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:39:09,114 [Worker-119] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:39:09,115 [Worker-119] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:39:19,297 [Worker-140] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:39:19,298 [Worker-140] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:39:19,299 [Worker-140] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:39:19,299 [Worker-140] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:39:24,210 [Worker-137] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:39:24,210 [Worker-137] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:39:24,211 [Worker-137] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:39:24,212 [Worker-137] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:43:07,588 [Worker-118] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:43:07,591 [Worker-118] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:43:07,592 [Worker-118] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:43:07,593 [Worker-118] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:47:41,054 [Worker-139] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:47:41,056 [Worker-139] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-21 11:47:41,057 [Worker-139] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-21 11:47:41,058 [Worker-139] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
